Algorithm,CPU Time (s),Dataset
Insertion Sort,2.50625e-05,100_nearly_sorted.txt
Selection Sort,0.00010925,100_nearly_sorted.txt
Bubble Sort,0.0001406875,100_nearly_sorted.txt
Merge Sort,0.000105042,100_nearly_sorted.txt
Quick Sort,0.00013004150000000002,100_nearly_sorted.txt
Heap Sort,0.0001109795,100_nearly_sorted.txt
Shell Sort,3.40625e-05,100_nearly_sorted.txt
Counting Sort,1.57915e-05,100_nearly_sorted.txt
Radix Sort,5.0521e-05,100_nearly_sorted.txt
Bucket Sort,1.92295e-05,100_nearly_sorted.txt
Cocktail-Shaker Sort,2.88955e-05,100_nearly_sorted.txt
Gnome Sort,4.7042e-05,100_nearly_sorted.txt
Cycle Sort,8.9104e-05,100_nearly_sorted.txt
TimSort (Python built-in),1.396e-06,100_nearly_sorted.txt
Tree Sort,0.000304,100_nearly_sorted.txt
Pancake Sort,7.66875e-05,100_nearly_sorted.txt
Flash Sort,3.45835e-05,100_nearly_sorted.txt
Tournament Sort,1.9458e-05,100_nearly_sorted.txt
Strand Sort,3.3542e-05,100_nearly_sorted.txt
Insertion Sort,0.001669312,1000_nearly_sorted.txt
Selection Sort,0.011925374999999998,1000_nearly_sorted.txt
Bubble Sort,0.0158755205,1000_nearly_sorted.txt
Merge Sort,0.0013856245,1000_nearly_sorted.txt
Quick Sort,0.0021224585,1000_nearly_sorted.txt
Heap Sort,0.0015572709999999998,1000_nearly_sorted.txt
Shell Sort,0.000703208,1000_nearly_sorted.txt
Counting Sort,0.00016762500000000002,1000_nearly_sorted.txt
Radix Sort,0.00063675,1000_nearly_sorted.txt
Bucket Sort,0.000210125,1000_nearly_sorted.txt
Cocktail-Shaker Sort,0.003421229,1000_nearly_sorted.txt
Gnome Sort,0.004918188,1000_nearly_sorted.txt
Cycle Sort,0.009957978999999999,1000_nearly_sorted.txt
TimSort (Python built-in),1.5146e-05,1000_nearly_sorted.txt
Tree Sort,0.005771729,1000_nearly_sorted.txt
Pancake Sort,0.0061549375,1000_nearly_sorted.txt
Flash Sort,0.00038258300000000003,1000_nearly_sorted.txt
Tournament Sort,0.0002631455,1000_nearly_sorted.txt
Strand Sort,0.0010141245,1000_nearly_sorted.txt
Insertion Sort,0.166232771,10000_nearly_sorted.txt
Selection Sort,1.2091296040000001,10000_nearly_sorted.txt
Bubble Sort,1.7424154795,10000_nearly_sorted.txt
Merge Sort,0.0174794585,10000_nearly_sorted.txt
Quick Sort,0.043696729000000004,10000_nearly_sorted.txt
Heap Sort,0.0234125205,10000_nearly_sorted.txt
Shell Sort,0.012545875,10000_nearly_sorted.txt
Counting Sort,0.001769667,10000_nearly_sorted.txt
Radix Sort,0.0085664795,10000_nearly_sorted.txt
Bucket Sort,0.002387625,10000_nearly_sorted.txt
Cocktail-Shaker Sort,0.3149087915,10000_nearly_sorted.txt
Gnome Sort,0.47582772900000003,10000_nearly_sorted.txt
Cycle Sort,0.9906006045,10000_nearly_sorted.txt
TimSort (Python built-in),0.000166208,10000_nearly_sorted.txt
Tree Sort,0.0637653755,10000_nearly_sorted.txt
Pancake Sort,0.692797146,10000_nearly_sorted.txt
Flash Sort,0.0040369995,10000_nearly_sorted.txt
Tournament Sort,0.0034242705,10000_nearly_sorted.txt
Strand Sort,0.0945087705,10000_nearly_sorted.txt
Insertion Sort,16.2557047085,100000_nearly_sorted.txt
Selection Sort,119.95047862499999,100000_nearly_sorted.txt
Bubble Sort,182.049405542,100000_nearly_sorted.txt
Merge Sort,0.20487510450000002,100000_nearly_sorted.txt
Quick Sort,0.20390716650000001,100000_nearly_sorted.txt
Heap Sort,0.3009702085,100000_nearly_sorted.txt
Shell Sort,0.208935625,100000_nearly_sorted.txt
Counting Sort,0.018262146,100000_nearly_sorted.txt
Radix Sort,0.10328504150000001,100000_nearly_sorted.txt
Bucket Sort,0.027034104,100000_nearly_sorted.txt
Cocktail-Shaker Sort,30.636801021,100000_nearly_sorted.txt
Gnome Sort,46.162665875,100000_nearly_sorted.txt
Cycle Sort,101.516514979,100000_nearly_sorted.txt
TimSort (Python built-in),0.0024735835000000003,100000_nearly_sorted.txt
Tree Sort,Error,100000_nearly_sorted.txt
Pancake Sort,72.9451000415,100000_nearly_sorted.txt
Flash Sort,0.039249104,100000_nearly_sorted.txt
Tournament Sort,0.038962854000000005,100000_nearly_sorted.txt
Strand Sort,39.858272271000004,100000_nearly_sorted.txt
Tree Sort,Error,100000_nearly_sorted.txt
