Algorithm,CPU Time (s),Dataset
Insertion Sort,0.00020185450000000002,100_reverse_sorted.txt
Selection Sort,0.000118208,100_reverse_sorted.txt
Bubble Sort,0.000337,100_reverse_sorted.txt
Merge Sort,8.82505e-05,100_reverse_sorted.txt
Quick Sort,0.000181875,100_reverse_sorted.txt
Heap Sort,8.3896e-05,100_reverse_sorted.txt
Shell Sort,3.5332999999999995e-05,100_reverse_sorted.txt
Counting Sort,1.55205e-05,100_reverse_sorted.txt
Radix Sort,4.8896e-05,100_reverse_sorted.txt
Bucket Sort,1.81045e-05,100_reverse_sorted.txt
Cocktail-Shaker Sort,0.000323,100_reverse_sorted.txt
Gnome Sort,0.0006285005,100_reverse_sorted.txt
Cycle Sort,0.0001633125,100_reverse_sorted.txt
TimSort (Python built-in),3.545e-07,100_reverse_sorted.txt
Tree Sort,0.0004884164999999999,100_reverse_sorted.txt
Pancake Sort,7.4729e-05,100_reverse_sorted.txt
Flash Sort,2.79585e-05,100_reverse_sorted.txt
Tournament Sort,2.0166e-05,100_reverse_sorted.txt
Strand Sort,0.000276875,100_reverse_sorted.txt
Insertion Sort,0.023131937499999998,1000_reverse_sorted.txt
Selection Sort,0.01236125,1000_reverse_sorted.txt
Bubble Sort,0.0366234165,1000_reverse_sorted.txt
Merge Sort,0.0012860835,1000_reverse_sorted.txt
Quick Sort,Error,1000_reverse_sorted.txt
Heap Sort,0.001347604,1000_reverse_sorted.txt
Shell Sort,0.000674584,1000_reverse_sorted.txt
Counting Sort,0.000163875,1000_reverse_sorted.txt
Radix Sort,0.000656771,1000_reverse_sorted.txt
Bucket Sort,0.00021062499999999998,1000_reverse_sorted.txt
Cocktail-Shaker Sort,0.039628604,1000_reverse_sorted.txt
Gnome Sort,0.0677897705,1000_reverse_sorted.txt
Cycle Sort,0.0183471875,1000_reverse_sorted.txt
TimSort (Python built-in),2.042e-06,1000_reverse_sorted.txt
Tree Sort,Error,1000_reverse_sorted.txt
Pancake Sort,0.005845208500000001,1000_reverse_sorted.txt
Flash Sort,0.000308854,1000_reverse_sorted.txt
Tournament Sort,0.0002439795,1000_reverse_sorted.txt
Strand Sort,0.02729675,1000_reverse_sorted.txt
Insertion Sort,2.6217740000000003,10000_reverse_sorted.txt
Selection Sort,1.2339214795,10000_reverse_sorted.txt
Bubble Sort,3.9163351459999998,10000_reverse_sorted.txt
Merge Sort,0.0160378545,10000_reverse_sorted.txt
Quick Sort,Error,10000_reverse_sorted.txt
Heap Sort,0.021079958500000003,10000_reverse_sorted.txt
Shell Sort,0.009545729,10000_reverse_sorted.txt
Counting Sort,0.0017421255,10000_reverse_sorted.txt
Radix Sort,0.0084495205,10000_reverse_sorted.txt
Bucket Sort,0.0023000835000000002,10000_reverse_sorted.txt
Cocktail-Shaker Sort,4.070137708500001,10000_reverse_sorted.txt
Gnome Sort,7.2572627915000005,10000_reverse_sorted.txt
Cycle Sort,1.846934125,10000_reverse_sorted.txt
TimSort (Python built-in),1.9417e-05,10000_reverse_sorted.txt
Tree Sort,Error,10000_reverse_sorted.txt
Pancake Sort,0.614898854,10000_reverse_sorted.txt
Flash Sort,0.003311646,10000_reverse_sorted.txt
Tournament Sort,0.0031404375,10000_reverse_sorted.txt
Strand Sort,2.7713308125,10000_reverse_sorted.txt
Gnome Sort,743.862363771,100000_reverse_sorted.txt
Cycle Sort,185.534886208,100000_reverse_sorted.txt
TimSort (Python built-in),0.0001894795,100000_reverse_sorted.txt
Tree Sort,Error,100000_reverse_sorted.txt
Pancake Sort,62.420303688000004,100000_reverse_sorted.txt
Flash Sort,0.0327071875,100000_reverse_sorted.txt
Tournament Sort,0.0355351665,100000_reverse_sorted.txt
Strand Sort,354.42366435400004,100000_reverse_sorted.txt
Bubble Sort,406.040123521,100000_reverse_sorted.txt
Bucket Sort,0.025364563,100000_reverse_sorted.txt
Cocktail-Shaker Sort,413.625580479,100000_reverse_sorted.txt
Counting Sort,0.0178120835,100000_reverse_sorted.txt
Heap Sort,0.2749806045,100000_reverse_sorted.txt
Insertion Sort,250.8472072915,100000_reverse_sorted.txt
Merge Sort,0.18833397899999998,100000_reverse_sorted.txt
Radix Sort,0.1018904585,100000_reverse_sorted.txt
Selection Sort,123.16222197900001,100000_reverse_sorted.txt
Shell Sort,0.131994208,100000_reverse_sorted.txt
Quick Sort,Error,1000_reverse_sorted.txt
Quick Sort,Error,10000_reverse_sorted.txt
Quick Sort,Error,100000_reverse_sorted.txt
Tree Sort,Error,1000_reverse_sorted.txt
Tree Sort,Error,10000_reverse_sorted.txt
Tree Sort,Error,100000_reverse_sorted.txt
